Sample,Total Sequences
SRR6744253,134859
SRR6744255,407909
SRR6744256,54759
SRR6744258,68684
SRR6744259,310082
SRR6744263,1226261
SRR6744264,68281
SRR6744266,6418335
SRR6744267,83454
SRR6744268,122044
SRR6744269,305400
SRR6744271,313476
SRR6744272,2302765
SRR6744273,257964
SRR6744274,42876
SRR6744275,50288
SRR6744276,4882087
SRR6744277,13755
SRR6744278,308802
SRR6744280,80922
SRR6744281,1275515
SRR6744283,90341
SRR6744284,526819
SRR6744285,95707
SRR6744286,1071082
SRR6744287,670401
SRR6744289,182373
SRR6744290,575427
SRR6744292,48230
SRR6744293,295437
SRR6744294,2748014
SRR6744296,93065
SRR6744298,7345
SRR6744299,92127
SRR6744300,332947
SRR6744301,46962
SRR6744302,377335
SRR6744306,159562
SRR6744307,2249776
SRR6744309,4556765
SRR6744310,1441190
SRR6744311,1474712
SRR6744312,161690
SRR6744314,199151
SRR6744315,32435
SRR6744316,2448545
SRR6744317,160549
SRR6744318,10004784
SRR6744319,143772
SRR6744320,814009
SRR6744321,79996
SRR6744323,90836
SRR6744324,588397
SRR6744325,857513
SRR6744327,427498
SRR6744328,475477
SRR6744330,174558
SRR6744332,705992
SRR6744333,115134
SRR6744334,53781
SRR6744336,338283
SRR6744337,788791
SRR6744340,527693
SRR6744341,359788
SRR6744344,479075
SRR6744345,879175
SRR6744346,12723
SRR6744347,2553366
SRR6744348,1169775
SRR6744349,93818
SRR6744350,213444
SRR6744351,788974
SRR6744352,116749
SRR6744353,4642773
SRR6744354,7325782
SRR6744355,3686
SRR6744357,5736097
SRR6744358,38516
SRR6744359,181168
SRR6744361,223723
SRR6744362,13597
SRR6744363,309646
SRR6744364,211668
SRR6744368,337283
SRR6744369,389924
SRR6744372,1124911
SRR6744373,74213
SRR6744374,97911
SRR6744375,48775
SRR6744377,543858
SRR6744379,123302
SRR6744380,2284353
SRR6744382,645497
SRR6744383,55783
SRR6744384,174380
SRR6744385,65129
SRR6744386,90755
SRR6744387,136060
SRR6744388,1180732
SRR6744389,209680
SRR6744390,75728
SRR6744392,59396
SRR6744394,627881
SRR6744395,118390
SRR6744396,104330
SRR6744397,2422560
SRR6744398,3515659
SRR6744399,158061
SRR6744400,3202632
SRR6744402,1895241
SRR6744404,151989
SRR6744406,11304
SRR6744407,1293843
SRR6744408,8452320
SRR6744409,925105
SRR6744410,495366
SRR6744411,144864
SRR6744412,756671
SRR6744413,264579
SRR6744414,613122
SRR6744416,429950
SRR6744417,41546
SRR6744418,201932
SRR6744419,636732
SRR6744420,76218
SRR6744424,52804
SRR6744425,203308
SRR6744426,4405515
SRR6744427,217454
SRR6744428,861123
SRR6744430,6359
SRR6744433,455464
SRR6744435,719708
SRR6744436,5177749
SRR6744437,112808
SRR6744438,358519
SRR6744439,1822877
SRR6744440,123236
SRR6744442,67173
SRR6744446,5453669
SRR6744447,158290
SRR6744449,286619
SRR6744450,108013
SRR6744451,150216
SRR6744452,192811
SRR6744453,212140
SRR6744456,115
SRR6744457,20718038
SRR6744459,11533329
SRR6744462,52476
SRR6744463,386658
SRR6744464,6002977
SRR6744466,75594
SRR6744467,274345
SRR6744468,6502184
SRR6744469,48481
SRR6744472,463775
SRR6744473,506658
SRR6744474,481934
SRR6744475,156493
SRR6744478,131628
SRR6744479,73127
SRR6744481,5887996
SRR6744483,335207
SRR6744484,63065
SRR6744486,836435
SRR6744489,721622
SRR6744490,55142
SRR6744491,286470
SRR6744492,62080
SRR6744493,349880
SRR6744494,207805
SRR6744495,73062
SRR6744496,955208
SRR6744498,762224
SRR6744500,1282829
SRR6744502,89526
SRR6744503,707737
SRR6744504,1492801
SRR6744505,302810
SRR6744506,349409
SRR6744508,143982
SRR6744509,324760
SRR6744510,731242
SRR6744511,222236
SRR6744512,2130969
SRR6744513,301390
SRR6744514,4865318
SRR6744515,279640
SRR6744516,1451530
SRR6744520,3777
SRR6744522,5739731
SRR6744524,341454
SRR6744525,92285
SRR6744526,179368
SRR6744527,109084
SRR6744528,487525
SRR6744529,6217260
SRR6744530,33369
SRR6744531,1545534
SRR6744532,1344755
SRR6744533,627945
SRR6744534,109372
SRR6744536,610554
SRR6744537,23130
