,Component 1,Component 2,Component 3,Taxonomy (contained),,,,,,
MAG125,-0.10175011,-0.027843321,0.130551782,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,
MAG074,-0.103688337,-0.027635288,0.096224564,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Eubacterium,
MAG146,-0.101375,-0.02733647,0.125653023,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Rothia,s__Rothia_dentocariosa
MAG097,-0.091314151,-0.026382913,-0.052722365,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_Family_XI._Incertae_Sedis,,
MAG006,-0.080166525,-0.025623716,0.011577601,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,
MAG106,-0.079850337,-0.023873998,-0.069341495,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_Family_XI._Incertae_Sedis,g__Peptoniphilus,
MAG105,-0.084338449,-0.021637818,0.003249972,k__Bacteria,,,,,,
MAG011,-0.087671378,-0.020688442,-0.060132452,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,
MAG034,-0.092623883,-0.018869023,0.017061789,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,
MAG130,-0.086255345,-0.018018344,-0.020075498,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_Family_XI._Incertae_Sedis,,
MAG099,-0.054068496,-0.01640243,-0.025701269,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_Family_XI._Incertae_Sedis,g__Finegoldia,s__Finegoldia_magna
MAG147,-0.08554463,-0.012572549,-0.066119792,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Mobiluncus,
MAG151,-0.091828651,-0.010906717,-0.027220342,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,
MAG031,-0.100998829,-0.008775009,0.068912905,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,
MAG148,-0.095375252,-0.006038536,-0.002489973,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,,
MAG001,-0.098857657,-0.004827365,0.046505517,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,
