,metrix,MAG,fdr,fdr1,fdr2,fdr3,p,ptb_sub_count,tb_sub_count,ptb_sub_mean,tb_sub_mean,p1,ptb_sub_count1,tb_sub_count1,ptb_sub_mean1,tb_sub_mean1,p2,ptb_sub_count2,tb_sub_count2,ptb_sub_mean2,tb_sub_mean2,p3,ptb_sub_count3,tb_sub_count3,ptb_sub_mean3,tb_sub_mean3
20,LD_dis.df,MAG043.fasta,0.8542442756996399,0.8836174593813683,0.9195094954078972,0.6379808927712702,0.7118702297496999,20,44,33.612089020201566,34.99634865392726,0.8836174593813683,7,10,28.027063025343644,29.579055169200892,0.8428837041239057,12,22,32.3792113678377,34.62577828190373,0.5365546120126465,9,29,39.21896878878396,35.81160976908983
18,LD_dis.df,MAG044.fasta,0.9770840119868428,0.8836174593813683,0.9195094954078972,0.6379808927712702,0.9770840119868428,23,52,41.56311267522491,44.114943217872074,0.8264440101673718,6,13,41.670167128285755,46.230071170028246,0.83870035648056,14,23,44.878710727275724,44.61956356011854,0.5848158183736644,12,37,41.401598559569614,44.487987947299146
19,LD_dis.df,MAG045.fasta,0.46421114256859686,0.88042161815635,0.936752678387914,0.6379808927712702,0.19342130940358204,20,45,37.35267133979797,35.687302901094554,0.5135792772578709,6,11,42.92955266857564,38.23881434456485,0.936752678387914,11,21,36.443039445663565,39.229196741408174,0.3704740798935755,10,31,37.80581928659226,33.36871629276784
23,LD_dis.df,MAG046.fasta,0.8542442756996399,0.8836174593813683,0.8527984198171827,0.6379808927712702,0.6681077437666942,17,36,40.16913263711545,41.72992198668938,0.7682782035458341,6,9,40.25752477698785,37.074175657989066,0.54074995048051,8,17,45.01096192248208,41.83189957273606,0.4324131147219655,10,25,38.19044263318368,43.30225750838724
24,LD_dis.df,MAG049.fasta,0.8542442756996399,0.7328599157677226,0.9195094954078972,0.6379808927712702,0.5815722529410371,21,49,49.53913912558713,51.19234698037041,0.18321497894193065,8,14,50.74162015286835,40.382881984387076,0.7771571317032637,13,26,49.09423727672064,50.00541507486944,0.5803875928992859,9,35,52.47173014905118,52.17265833963457
26,LD_dis.df,MAG051.fasta,0.46421114256859686,0.8836174593813683,0.8527984198171827,0.6379808927712702,0.11862444555901895,17,35,46.68336637703882,59.772709789332225,0.6261174799167386,5,7,47.383046332418346,61.80681473409491,0.2357290528163518,9,17,40.27498886021253,55.085290133197695,0.2648524806374561,10,24,50.28854439808608,61.12830806977818
17,LD_dis.df,MAG061.fasta,0.04849785697547811,0.46787240700654126,0.8342614246060639,0.26810279710213253,0.004041488081289842,19,47,52.7985492678849,36.023415211968405,0.0779787345010902,4,11,53.9759843149231,30.20464863542455,0.08664359836934778,11,20,45.878249109713714,33.221809551969145,0.02234189975851104,11,34,62.82254424907915,38.549900937537366
16,LD_dis.df,MAG086.fasta,0.4522816639931438,0.46787240700654126,0.8527984198171827,0.6379808927712702,0.07538027733219063,29,84,33.629355972012746,27.54471119981177,0.05322741328150351,10,17,36.83662966966431,22.348273249677707,0.5685322798781218,18,38,34.34109103735934,29.596361180470748,0.44467301872371146,22,70,33.257833594760015,28.111445773108038
22,LD_dis.df,MAG113.fasta,0.8542442756996399,0.88042161815635,0.8527984198171827,0.6379808927712702,0.4629406381698237,15,33,32.217143732311676,27.190668800686744,0.4749585398895068,3,8,32.48235758855017,25.326915036003943,0.5083315735521454,9,14,31.96551843095073,23.10945984195778,0.4327214880257134,7,23,32.81358723587831,27.97675782641958
61,d_prime.df,MAG023.fasta,0.6575648419759528,0.8381216765954554,0.9261350515818552,0.42484772537128446,0.6575648419759528,13,38,0.9791378608151272,0.9816607895055991,0.7682782035458341,6,9,0.977871055858102,0.9781125085140724,0.9134951530400164,8,13,0.9792492935113568,0.9761172112370684,0.28323181691418964,6,29,0.97857382530709,0.9834847209066316
67,d_prime.df,MAG038.fasta,0.6259877900500215,1.0,0.9261350515818552,0.42484772537128446,0.5216564917083513,14,36,0.9944244859831112,0.9910269853769216,1.0,5,10,0.9932487979125211,0.991327316128796,0.7952021880232678,6,17,0.9945714445729851,0.993691388928624,0.22141444317127898,7,22,0.996070000785697,0.9898056980560794
65,d_prime.df,MAG042.fasta,0.09528912609125079,0.4947887919832151,0.841453646471563,0.4558416823796903,0.039703802538021166,22,48,0.9906603791622864,0.9929342193636164,0.25305303666388657,7,12,0.9874617010235052,0.9879915207224722,0.22641006631715574,13,24,0.9881261136637334,0.9910911817011157,0.3592965905418453,11,37,0.9940971882131641,0.994922392826871
