,count
SRR6744153,3
SRR6744155,5
SRR6744159,2
SRR6744160,6
SRR6744161,17
SRR6744162,3
SRR6744165,10
SRR6744167,5
SRR6744168,7
SRR6744171,13
SRR6744174,10
SRR6744175,6
SRR6744177,5
SRR6744178,2
SRR6744180,1
SRR6744182,2
SRR6744185,4
SRR6744187,9
SRR6744190,10
SRR6744191,20
SRR6744193,9
SRR6744194,5
SRR6744195,18
SRR6744198,16
SRR6744199,7
SRR6744204,4
SRR6744210,5
SRR6744212,3
SRR6744214,5
SRR6744216,81
SRR6744220,6
SRR6744222,7
SRR6744223,2
SRR6744224,3
SRR6744226,3
SRR6744227,9
SRR6744228,15
SRR6744230,4
SRR6744233,31
SRR6744234,85
SRR6744235,4
SRR6744236,65
SRR6744241,3
SRR6744243,6
SRR6744247,1
SRR6744249,16
SRR6744251,2
SRR6744252,7
SRR6744255,5
SRR6744256,1
SRR6744259,8
SRR6744263,18
SRR6744266,43
SRR6744269,5
SRR6744271,4
SRR6744272,14
SRR6744273,4
SRR6744280,3
SRR6744281,6
SRR6744283,1
SRR6744284,4
SRR6744286,8
SRR6744287,11
SRR6744289,1
SRR6744293,6
SRR6744294,13
SRR6744296,3
SRR6744299,1
SRR6744300,6
SRR6744302,9
SRR6744307,45
SRR6744309,34
SRR6744310,27
SRR6744311,10
SRR6744312,2
SRR6744316,28
SRR6744317,7
SRR6744318,32
SRR6744320,20
SRR6744321,2
SRR6744323,3
SRR6744324,5
SRR6744325,15
SRR6744327,16
SRR6744328,66
SRR6744330,3
SRR6744332,9
SRR6744337,13
SRR6744341,6
SRR6744344,6
SRR6744345,8
SRR6744348,21
SRR6744349,1
SRR6744350,5
SRR6744351,17
SRR6744352,5
SRR6744357,26
SRR6744359,6
SRR6744364,4
SRR6744368,7
SRR6744369,8
SRR6744372,16
SRR6744373,3
SRR6744377,12
SRR6744379,3
SRR6744382,6
SRR6744384,1
SRR6744386,3
SRR6744389,11
SRR6744394,6
SRR6744395,1
SRR6744396,1
SRR6744397,16
SRR6744398,38
SRR6744399,2
SRR6744400,22
SRR6744402,23
SRR6744404,1
SRR6744409,23
SRR6744410,15
SRR6744411,1
SRR6744412,14
SRR6744413,6
SRR6744416,5
SRR6744418,3
SRR6744419,17
SRR6744425,1
SRR6744426,29
SRR6744428,20
SRR6744433,15
SRR6744435,9
SRR6744437,4
SRR6744438,8
SRR6744440,4
SRR6744447,3
SRR6744452,5
SRR6744457,191
SRR6744459,143
SRR6744463,5
SRR6744466,3
SRR6744467,2
SRR6744469,2
SRR6744472,5
SRR6744473,4
SRR6744478,2
SRR6744479,1
SRR6744483,4
SRR6744486,20
SRR6744489,14
SRR6744491,4
SRR6744493,8
SRR6744494,2
SRR6744495,3
SRR6744496,13
SRR6744500,23
SRR6744503,9
SRR6744504,16
SRR6744505,9
SRR6744506,5
SRR6744509,8
SRR6744511,7
SRR6744512,46
SRR6744513,5
SRR6744514,29
SRR6744515,8
SRR6744516,26
SRR6744522,28
SRR6744524,8
SRR6744526,2
SRR6744531,12
SRR6744532,20
SRR6744533,14
SRR6744534,3
SRR6744536,13
SRR6744540,4
SRR6744542,4
SRR6744543,10
SRR6744545,3
SRR6744550,6
SRR6744551,3
SRR6744554,3
SRR6744555,6
SRR6744556,4
SRR6744557,24
SRR6744558,30
SRR6744560,20
SRR6744561,8
SRR6744566,2
SRR6744569,4
SRR6744570,3
SRR6744572,3
SRR6744573,10
SRR6744579,2
SRR6744580,8
SRR6744582,3
SRR6744583,5
SRR6744586,5
SRR6744587,1
SRR6744588,2
SRR6744589,16
SRR6744590,11
SRR6744591,4
SRR6744596,1
SRR6744602,3
SRR6744604,45
SRR6744605,26
SRR6744607,9
SRR6744608,9
SRR6744610,13
SRR6744612,5
SRR6744614,13
SRR6744615,12
SRR6744621,18
SRR6744622,16
SRR6744627,3
SRR6744628,7
SRR6744633,14
SRR6744637,4
SRR6744643,9
SRR6744644,13
SRR6744647,16
SRR6744648,26
SRR6744650,8
SRR6744652,15
SRR6744654,19
SRR6744655,5
SRR6744657,4
SRR6744659,2
SRR6744660,12
SRR6744666,24
SRR6744672,18
SRR6744675,6
SRR6744678,3
SRR6744683,6
SRR6744686,26
SRR6744687,6
SRR6744688,16
SRR6744692,4
SRR6744700,6
SRR6744703,12
SRR6744706,7
SRR6744711,7
SRR6744712,17
SRR6744715,13
SRR6744716,38
SRR6744717,2
SRR6744719,2
SRR6744720,12
SRR6744721,7
SRR6744725,7
SRR6744727,1
SRR6744728,1
SRR6744730,5
SRR6744738,21
SRR6744740,17
SRR6744741,17
SRR6744743,13
SRR6744746,7
SRR6744750,24
SRR6744751,10
SRR6744754,2
SRR6744755,5
SRR6744757,29
SRR6744762,11
SRR6744763,5
SRR6744764,77
SRR6744765,5
SRR6744767,5
SRR6744771,2
SRR6744773,21
SRR6744781,9
SRR6744782,6
SRR6744784,10
SRR6744785,4
SRR6744786,1
SRR6744787,8
SRR6744788,80
SRR6744789,7
SRR6744791,4
SRR6744797,40
SRR6744798,11
SRR6744801,11
SRR6744802,26
SRR6744806,10
SRR6744807,2
SRR6744808,9
SRR6744813,1
SRR6744816,9
SRR6744817,2
SRR6744821,4
SRR6744823,4
SRR6744824,50
SRR6744825,1
SRR6744828,3
SRR6744830,11
SRR6744834,10
SRR6744837,6
SRR6744838,13
SRR6744839,1
SRR6744841,9
SRR6744843,22
SRR6744844,5
SRR6744845,5
SRR6744846,15
SRR6744849,26
SRR6744850,3
SRR6744851,13
SRR6744852,13
SRR6744853,1
SRR6744855,7
SRR6744857,22
SRR6744863,1
SRR6744864,22
SRR6744867,3
SRR6744869,28
SRR6744870,25
SRR6744871,42
SRR6744873,8
SRR6744874,8
SRR6744876,29
SRR6744879,2
SRR6744880,3
SRR6744881,8
SRR6744882,32
SRR6744885,19
SRR6744886,17
SRR6744887,1
SRR6744888,10
SRR6744892,10
SRR6744893,19
SRR6744895,4
SRR6744899,1
SRR6744904,13
SRR6744905,6
SRR6744906,31
SRR6744907,3
SRR6744908,2
SRR6744910,25
SRR6744911,2
SRR6744913,4
SRR6744919,7
SRR6744922,2
SRR6744923,24
SRR6744929,28
SRR6744932,2
SRR6744933,26
SRR6744934,7
SRR6744937,2
SRR6744938,14
SRR6744939,5
SRR6744942,7
SRR6744943,11
SRR6744944,10
SRR6744946,8
SRR6744947,3
SRR6744948,13
SRR6744950,2
SRR6744951,7
SRR6744952,17
SRR6744953,3
SRR6744957,6
SRR6744958,2
SRR6744963,6
